0.25537,0.18910,0.35318,0.18605,0.79707,0.48703,0.87590,0.43346,0.31883,0.36692,0.18416,0.34578,0.25826,0.44561,0.87393,0.83711,0.98653,0.00139,0.99821,0.09553,0.01141,0.99093,0.63457,0.28577,0.45932,0.55950,0.63040,0.13036,0.06954,0.21342,0.30797,0.20804
0.34597,0.70769,0.42710,0.63931,0.31921,0.98782,0.17251,0.39537,0.87259,0.56779,0.91594,0.87630,0.42410,0.13102,0.56318,0.87484,0.21041,0.04008,0.03626,0.29654,0.89369,0.00678,0.80763,0.21886,0.46758,0.55037,0.08056,0.02852,0.33036,0.08038,0.05420,0.45486
0.45877,0.46855,0.68499,0.01121,0.49688,0.81568,0.77978,0.01640,0.86624,0.61753,0.39645,0.38615,0.70121,0.95240,0.20073,0.99292,0.53926,0.33630,0.49755,0.96976,0.91546,0.14443,0.02796,0.69490,0.89709,0.76859,0.36685,0.02851,0.82820,0.93397,0.41289,0.74867
0.43897,0.91530,0.46472,0.61235,0.47705,0.87605,0.44128,0.44169,0.65015,0.86274,0.48949,0.59131,0.63448,0.86216,0.45187,0.36795,0.65461,0.04841,0.08806,0.98025,0.39212,0.26604,0.15144,0.62456,0.18400,0.61449,0.69070,0.34807,0.38280,0.27979,0.77028,0.58446
0.18998,0.75998,0.43521,0.68476,0.23773,0.45570,0.01559,0.63141,0.86462,0.66457,0.61499,0.81423,0.46771,0.51724,0.27654,0.91707,0.90950,0.82304,0.19452,0.40409,0.92031,0.95277,0.59853,0.89604,0.82267,0.86395,0.42647,0.72512,0.07437,0.37724,0.73338,0.86132
0.12524,0.31866,0.46387,0.71587,0.22203,0.85782,0.85513,0.54760,0.36478,0.21183,0.42605,0.55455,0.84744,0.03802,0.54185,0.56681,0.38600,0.50578,0.82252,0.86155,0.21567,0.96357,0.06724,0.82701,0.32256,0.51323,0.33524,0.98245,0.59056,0.41688,0.97877,0.52252
0.09941,0.87579,0.33970,0.53962,0.66172,0.49973,0.72093,0.44715,0.44376,0.63204,0.31130,0.79626,0.25647,0.84875,0.10813,0.00142,0.68801,0.24970,0.65075,0.72112,0.10977,0.69608,0.88165,0.82805,0.40957,0.52661,0.97717,0.10506,0.55195,0.24945,0.31170,0.08532
0.27211,0.42870,0.65375,0.16287,0.43341,0.76386,0.76639,0.78597,0.51962,0.57677,0.78110,0.18247,0.87223,0.26312,0.35950,0.74230,0.35123,0.54596,0.15031,0.54371,0.88421,0.14991,0.07333,0.37266,0.00546,0.61362,0.48503,0.41314,0.88345,0.65092,0.44957,0.87145
0.78420,0.98839,0.94188,0.15269,0.26735,0.52382,0.03558,0.56863,0.23385,0.00395,0.30802,0.68301,0.77188,0.91061,0.74352,0.10844,0.21445,0.38816,0.16977,0.85466,0.52941,0.10503,0.17553,0.94321,0.03167,0.57377,0.40069,0.03101,0.47144,0.02993,0.97062,0.96099
0.97862,0.84619,0.72845,0.75729,0.21391,0.26525,0.00614,0.29957,0.70303,0.10599,0.33017,0.37398,0.34442,0.27952,0.18543,0.35635,0.16498,0.38021,0.53284,0.63057,0.02377,0.74191,0.98346,0.33007,0.37728,0.05122,0.84902,0.60458,0.64925,0.39289,0.15757,0.86879
