0.65440,0.17934,0.09573,0.52682,0.56545,0.33742,0.18976,0.20904,0.34625,0.99565,0.81373,0.51526,0.64390,0.25091,0.48148,0.92055
0.94724,0.36646,0.69177,0.49815,0.36695,0.85892,0.88095,0.48502,0.66661,0.60124,0.23638,0.13696,0.68748,0.12700,0.41499,0.60803
0.96798,0.49573,0.03603,0.20363,0.29623,0.31817,0.75296,0.10853,0.94556,0.35386,0.42754,0.46488,0.12134,0.07333,0.54079,0.04794
0.66803,0.12304,0.42308,0.38939,0.24473,0.02193,0.47843,0.44520,0.16020,0.34618,0.16731,0.21720,0.36543,0.55450,0.80194,0.21008
0.02459,0.15636,0.79663,0.32739,0.60048,0.26039,0.23568,0.17688,0.84447,0.07856,0.70771,0.01500,0.81614,0.45872,0.88519,0.57073
0.72483,0.84540,0.72196,0.64004,0.63170,0.56557,0.50772,0.84689,0.28907,0.16611,0.17406,0.25555,0.61645,0.84523,0.56165,0.65294
0.66764,0.15616,0.48440,0.70026,0.48077,0.46683,0.81640,0.59897,0.77740,0.39037,0.30806,0.03703,0.22251,0.57118,0.59825,0.90792
0.67254,0.02654,0.67691,0.66915,0.73048,0.07306,0.76753,0.88789,0.89488,0.32411,0.12066,0.15708,0.39388,0.11231,0.95177,0.82657
0.82868,0.45855,0.31448,0.25306,0.34247,0.68040,0.40440,0.55729,0.42048,0.13243,0.56558,0.64647,0.55572,0.22792,0.11883,0.30478
0.31867,0.87638,0.06130,0.29910,0.48243,0.60724,0.84527,0.64383,0.71463,0.27040,0.61190,0.81609,0.89915,0.52220,0.35518,0.58906
0.36764,0.70353,0.55582,0.53243,0.91811,0.92568,0.61184,0.15130,0.06697,0.72740,0.92011,0.20744,0.60387,0.87907,0.07074,0.31005
0.59256,0.81446,0.92279,0.54024,0.84002,0.75243,0.95613,0.99047,0.19575,0.55741,0.77842,0.25826,0.27104,0.29725,0.35583,0.92958
0.61159,0.31261,0.74732,0.97484,0.33245,0.87518,0.06667,0.90406,0.63019,0.52802,0.04578,0.59685,0.35087,0.70179,0.86997,0.45612
0.61488,0.50375,0.19301,0.99100,0.17432,0.93796,0.33070,0.83202,0.81314,0.99547,0.05786,0.31008,0.03294,0.55934,0.05756,0.41658
0.47686,0.26538,0.90379,0.60729,0.30383,0.95936,0.77233,0.34378,0.16144,0.80501,0.45399,0.37221,0.29336,0.46044,0.81021,0.34447
0.64483,0.98095,0.98343,0.14532,0.85561,0.57758,0.36340,0.95404,0.00518,0.77075,0.27903,0.62456,0.31424,0.47856,0.17372,0.17409
